Query Number, LDF Time (ms), ZZ Time (ms), Sound & Complete, ZZ Server Calls
10174,96539,95570,true,0
10175,48954,48757,true,0
10176,257,246,true,1
10177,911,262,true,1
10179,202,250,true,0
1017,1954,523,true,1
10180,17760,8990,true,1
10181,313,351,true,0
10182,20286,5800,true,1
10183,2851,250,true,1
10184,318,375,true,0
10185,373,392,true,0
10186,857,198,true,1
10187,32810,33110,true,0
10188,22966,2658,true,1
1018,62983,56247,true,1
10190,1268,427,true,1
10191,216848,44547,true,1
10192,200,234,true,0
10193,149,183,true,0
10195,21771,2731,true,1
10196,15187,15527,true,1
10199,323,292,true,1
1019,46144,43293,true,1
101,4303,4381,true,0
10200,2123,2189,true,0
10201,192,151,true,1
10203,3664,406,true,1
10205,3755,3169,true,1
10207,21686,21676,true,0
10209,9688,717,true,1
1020,23948,1073,true,2
10210,203,207,true,1
10211,111617,21319,true,1
10212,35285,35113,true,0
10213,51418,4783,true,1
10214,149,196,true,0
10216,62351,62265,true,0
10218,33968,26770,true,1
10219,216391,44393,true,1
1021,3674,3729,true,0
10220,18753,1191,true,1
10221,58206,58766,true,0
10222,1766,958,true,1
10225,215442,506,true,1
10226,6143,4766,true,1
10227,139,136,true,0
10229,3034,3146,true,0
1022,4642,4661,true,0
10230,220811,219387,true,0
10231,151,210,true,0
10232,207,220,true,0
10234,24789,3935,true,1
10235,23636,587,true,1
10236,1103,403,true,1
10237,175520,51097,true,1
10238,48466,9959,true,1
1023,39602,11999,true,1
10240,101810,2535,true,1
10241,183802,8832,true,1
10242,1077,685,true,1
10243,22464,2739,true,1
10248,28905,830,true,1
10253,63413,63260,true,0
10254,20865,1461,true,1
10255,194,240,true,0
10256,2280,2331,true,0
10257,55722,56601,true,0
10258,137,188,true,0
10259,16609,16513,true,0
1025,259,297,true,0
10261,192,152,true,1
10263,63023,63027,true,0
10266,117032,5677,true,1
10268,48874,48785,true,0
1026,1246,461,true,1
10271,139433,21103,true,1
10273,28277,802,true,1
10274,318,382,true,1
10277,49813,49822,true,0
10279,260,291,true,0
1027,17399,1702,true,1
10280,3132,736,true,1
10281,199,252,true,0
10282,140,159,true,0
10283,203,217,true,0
10284,56545,56254,true,0
10285,17027,17540,true,0
10286,439,485,true,1
10287,23550,23662,true,0
10288,175945,50735,true,1
1028,194,213,true,0
10291,59320,58853,true,0
10292,102211,102812,true,0
10293,55912,4858,true,1
10295,3910,3999,true,0
10297,74948,74595,true,0
10299,20766,1461,true,1
102,68922,5655,true,1
10301,47708,48429,true,0
10302,23228,23611,true,0
10303,191,157,true,1
10304,134202,26585,true,1
10307,5983,5919,true,0
10308,93518,93438,true,0
10309,193,157,true,1
1030,10872,842,true,1
10310,16567,3352,true,1
10311,213,245,true,0
10313,260,294,true,0
10314,3887,4045,true,0
10315,20223,20052,true,0
10316,12785,215,true,1
10317,37284,1270,true,2
10318,68574,32503,true,1
10319,2975,759,true,1
1031,29788,30125,true,0
10320,136,161,true,0
10322,32825,33112,true,0
10323,31114,31071,true,0
10324,48568,47643,true,0
10326,438,531,true,1
10327,76702,76212,true,0
1032,61267,50893,true,1
10330,39016,7862,true,1
10331,38396,3400,true,1
10332,31830,22672,true,1
10335,21520,15515,true,1
10337,139,165,true,0
10338,146,169,true,0
10339,1715,1426,true,1
1033,2613,2839,true,0
10340,28490,19285,true,1
10341,5665,440,true,1
10343,21775,21496,true,0
10344,5276,205,true,1
10345,180822,181318,true,0
10346,1141,192,true,1
